seed,run,num_vehicles,num_rsus,total_nodes,road_length_m,lane_count,lane_spacing_m,coverage_range_m,tx_power_dbm,packet_size_bytes,beacon_interval_ms,warmup_s,active_s,cleanup_s,phy_mode,prover_processing_delay_ms,verifier_processing_delay_ms,flow_count,tx_packets,rx_packets,lost_packets,delivery_ratio,packet_loss_ratio,offered_load_mbps,mean_network_delay_ms,mean_rba_end_to_end_delay_ms
12345,1,10,4,14,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,10,400,231,169,0.577500,0.422500,0.084000,38.156756,48.579756
12345,1,20,4,24,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,20,800,474,326,0.592500,0.407500,0.168000,6.124082,16.547082
12345,1,30,4,34,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,30,1200,709,491,0.590833,0.409167,0.252000,28.810993,39.233993
12345,1,40,4,44,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,40,1600,948,652,0.592500,0.407500,0.336000,15.736303,26.159303
12345,1,50,4,54,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,50,2000,1172,828,0.586000,0.414000,0.420000,22.250203,32.673203
12345,1,60,4,64,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,60,2400,1418,982,0.590833,0.409167,0.504000,12.331411,22.754411
12345,1,70,4,74,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,70,2800,1639,1161,0.585357,0.414643,0.588000,12.380407,22.803407
12345,1,80,4,84,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,80,3200,1874,1326,0.585625,0.414375,0.672000,15.839412,26.262412
12345,1,90,4,94,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,90,3600,2049,1551,0.569167,0.430833,0.756000,12.770834,23.193834
12345,1,100,4,104,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,100,4000,2345,1655,0.586250,0.413750,0.840000,13.475383,23.898383
12345,1,110,4,114,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,110,4400,2590,1810,0.588636,0.411364,0.924000,16.953373,27.376373
12345,1,120,4,124,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,120,4800,2795,2005,0.582292,0.417708,1.008000,16.479337,26.902337
12345,1,130,4,134,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,130,5200,3055,2145,0.587500,0.412500,1.092000,11.732035,22.155035
12345,1,140,4,144,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,140,5600,3235,2365,0.577679,0.422321,1.176000,17.954412,28.377412
12345,1,150,4,154,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,150,6000,3522,2478,0.587000,0.413000,1.260000,16.553668,26.976668
12345,1,160,4,164,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,160,6400,3711,2689,0.579844,0.420156,1.344000,20.210999,30.633999
12345,1,170,4,174,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,170,6800,3949,2851,0.580735,0.419265,1.428000,17.700183,28.123183
12345,1,180,4,184,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,180,7200,4237,2963,0.588472,0.411528,1.512000,18.561644,28.984644
12345,1,190,4,194,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,190,7600,4440,3160,0.584211,0.415789,1.596000,20.856813,31.279813
12345,1,200,4,204,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,200,8000,4605,3395,0.575625,0.424375,1.680000,20.890155,31.313155
12345,1,210,4,214,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,210,8400,4851,3549,0.577500,0.422500,1.764000,17.971267,28.394267
12345,1,220,4,224,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,220,8800,5011,3789,0.569432,0.430568,1.848000,18.341078,28.764078
12345,1,230,4,234,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,230,9200,5282,3918,0.574130,0.425870,1.932000,24.586042,35.009042
12345,1,240,4,244,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,240,9600,5496,4104,0.572500,0.427500,2.016000,23.628511,34.051511
12345,1,250,4,254,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,250,10000,5860,4140,0.586000,0.414000,2.100000,18.886948,29.309948
12345,1,260,4,264,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,260,10400,5957,4443,0.572788,0.427212,2.184000,23.181338,33.604338
12345,1,270,4,274,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,270,10800,6116,4684,0.566296,0.433704,2.268000,22.602763,33.025763
12345,1,280,4,284,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,280,11200,6370,4830,0.568750,0.431250,2.352000,24.512509,34.935509
12345,1,290,4,294,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,290,11600,6467,5133,0.557500,0.442500,2.436000,28.123488,38.546488
12345,1,300,4,304,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,300,12000,6904,5096,0.575333,0.424667,2.520000,16.676558,27.099558
12345,1,310,4,314,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,310,12400,7039,5361,0.567661,0.432339,2.604000,19.472027,29.895027
12345,1,320,4,324,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,320,12800,7298,5502,0.570156,0.429844,2.688000,24.095962,34.518962
12345,1,330,4,334,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,330,13200,7400,5800,0.560606,0.439394,2.772000,25.289528,35.712528
12345,1,340,4,344,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,340,13600,7463,6137,0.548750,0.451250,2.856000,31.480643,41.903643
12345,1,350,4,354,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,350,14000,7573,6427,0.540929,0.459071,2.940000,29.725118,40.148118
12345,1,360,4,364,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,360,14400,7762,6638,0.539028,0.460972,3.024000,32.476667,42.899667
12345,1,370,4,374,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,370,14800,8128,6672,0.549189,0.450811,3.108000,31.434180,41.857180
12345,1,380,4,384,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,380,15200,8341,6859,0.548750,0.451250,3.192000,30.362955,40.785955
12345,1,390,4,394,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,390,15600,8434,7166,0.540641,0.459359,3.276000,26.372754,36.795754
12345,1,400,4,404,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,400,16000,8758,7242,0.547375,0.452625,3.360000,26.125592,36.548592
12345,1,410,4,414,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,410,16400,8907,7493,0.543110,0.456890,3.444000,30.158338,40.581338
12345,1,420,4,424,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,420,16800,9062,7738,0.539405,0.460595,3.528000,30.710597,41.133597
12345,1,430,4,434,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,430,17200,9273,7927,0.539128,0.460872,3.612000,28.008117,38.431117
12345,1,440,4,444,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,440,17600,9410,8190,0.534659,0.465341,3.696000,27.872796,38.295796
12345,1,450,4,454,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,450,18000,9827,8173,0.545944,0.454056,3.780000,30.118668,40.541668
12345,1,460,4,464,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,460,18400,10007,8393,0.543859,0.456141,3.864000,34.088224,44.511224
12345,1,470,4,474,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,470,18800,9995,8805,0.531649,0.468351,3.948000,35.219999,45.642999
12345,1,480,4,484,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,480,19200,9937,9263,0.517552,0.482448,4.032000,37.703840,48.126840
12345,1,490,4,494,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,490,19600,10162,9438,0.518469,0.481531,4.116000,33.676042,44.099042
12345,1,500,4,504,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,500,20000,10260,9740,0.513000,0.487000,4.200000,36.847622,47.270622
12345,1,510,4,514,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,510,20400,10290,10110,0.504412,0.495588,4.284000,36.994185,47.417185
12345,1,520,4,524,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,520,20800,10466,10334,0.503173,0.496827,4.368000,33.045060,43.468060
12345,1,530,4,534,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,530,21200,10649,10551,0.502311,0.497689,4.452000,32.396625,42.819625
12345,1,540,4,544,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,540,21600,10778,10822,0.498981,0.501019,4.536000,31.457457,41.880457
12345,1,550,4,554,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,550,22000,10876,11124,0.494364,0.505636,4.620000,27.427410,37.850410
12345,1,560,4,564,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,560,22400,10660,11740,0.475893,0.524107,4.704000,39.000610,49.423610
12345,1,570,4,574,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,570,22800,10972,11828,0.481228,0.518772,4.788000,36.600097,47.023097
12345,1,580,4,584,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,580,23200,11026,12174,0.475259,0.524741,4.872000,36.847533,47.270533
12345,1,590,4,594,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,590,23600,11344,12256,0.480678,0.519322,4.956000,32.376039,42.799039
12345,1,600,4,604,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,600,24000,11172,12828,0.465500,0.534500,5.040000,35.843105,46.266105
12345,1,610,4,614,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,610,24400,10746,13654,0.440410,0.559590,5.124000,48.681257,59.104257
12345,1,620,4,624,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,620,24800,11608,13192,0.468065,0.531935,5.208000,37.520300,47.943300
12345,1,630,4,634,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,630,25200,11974,13226,0.475159,0.524841,5.292000,35.492664,45.915664
12345,1,640,4,644,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,640,25600,11559,14041,0.451523,0.548477,5.376000,40.148254,50.571254
12345,1,650,4,654,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,650,26000,11735,14265,0.451346,0.548654,5.460000,38.313862,48.736862
12345,1,660,4,664,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,660,26400,11804,14596,0.447121,0.552879,5.544000,38.061515,48.484515
12345,1,670,4,674,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,670,26800,11668,15132,0.435373,0.564627,5.628000,41.487959,51.910959
12345,1,680,4,684,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,680,27200,12181,15019,0.447831,0.552169,5.712000,41.211383,51.634383
12345,1,690,4,694,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,690,27600,12022,15578,0.435580,0.564420,5.796000,43.991247,54.414247
12345,1,700,4,704,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,700,28000,11281,16719,0.402893,0.597107,5.880000,53.655518,64.078518
12345,1,710,4,714,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,710,28400,11893,16507,0.418768,0.581232,5.964000,53.339514,63.762514
12345,1,720,4,724,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,720,28800,11355,17445,0.394271,0.605729,6.048000,59.249445,69.672445
12345,1,730,4,734,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,730,29200,12248,16952,0.419452,0.580548,6.132000,50.151875,60.574875
12345,1,740,4,744,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,740,29600,11904,17696,0.402162,0.597838,6.216000,54.770467,65.193467
12345,1,750,4,754,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,750,30000,12007,17993,0.400233,0.599767,6.300000,51.583619,62.006619
12345,1,760,4,764,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,760,30400,12864,17536,0.423158,0.576842,6.384000,48.745788,59.168788
12345,1,770,4,774,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,770,30800,12316,18484,0.399870,0.600130,6.468000,51.838672,62.261672
12345,1,780,4,784,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,780,31200,12270,18930,0.393269,0.606731,6.552000,54.641642,65.064642
12345,1,790,4,794,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,790,31600,12690,18910,0.401582,0.598418,6.636000,50.755123,61.178123
12345,1,800,4,804,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,800,32000,12586,19414,0.393313,0.606688,6.720000,62.175850,72.598850
12345,1,810,4,814,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,810,32400,12934,19466,0.399198,0.600802,6.804000,52.728483,63.151483
12345,1,820,4,824,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,820,32800,12588,20212,0.383780,0.616220,6.888000,62.486670,72.909670
12345,1,830,4,834,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,830,33200,12904,20296,0.388675,0.611325,6.972000,57.168256,67.591256
12345,1,840,4,844,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,840,33600,12287,21313,0.365685,0.634315,7.056000,72.080123,82.503123
12345,1,850,4,854,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,850,34000,12801,21199,0.376500,0.623500,7.140000,69.672683,80.095683
12345,1,860,4,864,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,860,34400,12838,21562,0.373198,0.626802,7.224000,72.472107,82.895107
12345,1,870,4,874,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,870,34800,13291,21509,0.381925,0.618075,7.308000,55.703793,66.126793
12345,1,880,4,884,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,880,35200,12458,22742,0.353920,0.646080,7.392000,78.083068,88.506068
12345,1,890,4,894,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,890,35600,12732,22868,0.357640,0.642360,7.476000,76.155599,86.578599
12345,2,10,4,14,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,10,400,237,163,0.592500,0.407500,0.084000,24.540038,34.963038
12345,2,20,4,24,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,20,800,460,340,0.575000,0.425000,0.168000,6.345399,16.768399
12345,2,30,4,34,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,30,1200,706,494,0.588333,0.411667,0.252000,33.207158,43.630158
12345,2,40,4,44,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,40,1600,973,627,0.608125,0.391875,0.336000,9.289439,19.712439
12345,2,50,4,54,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,50,2000,1154,846,0.577000,0.423000,0.420000,17.858134,28.281134
12345,2,60,4,64,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,60,2400,1365,1035,0.568750,0.431250,0.504000,8.411902,18.834902
12345,2,70,4,74,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,70,2800,1645,1155,0.587500,0.412500,0.588000,10.705428,21.128428
12345,2,80,4,84,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,80,3200,1896,1304,0.592500,0.407500,0.672000,16.971204,27.394204
12345,2,90,4,94,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,90,3600,2146,1454,0.596111,0.403889,0.756000,10.978168,21.401168
12345,2,100,4,104,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,100,4000,2336,1664,0.584000,0.416000,0.840000,10.140800,20.563800
12345,2,110,4,114,3000.000000,4,4.000000,300.000000,20.000000,105,100,1.000000,4.000000,5.000000,OfdmRate6MbpsBW10MHz,4.467000,5.956000,110,4400,2505,1895,0.569318,0.430682,0.924000,17.509838,27.932838
